monobit_test_ones_count,monobit_test_zeroes_count,monobit_test_p,frequency_within_block_test_p,runs_test_p,longest_run_ones_in_a_block_test_p,binary_matrix_rank_test_p,dft_test_p,approximate_entropy_test_p,serial_test_p,cumulative_sums_test_p,non_overlapping_template_matching_test_p,label
32654,33010,0.164750980807496,0.712194817574676,0.467747891220356,0.6688005978451954,0.453566240607302,0.9600142072081945,0.09019755927759993,0.08861432546057386,0.147772072757399,0.9999999977326506,AES
32912,32688,0.3818062478367513,0.8339522609668834,0.2465843238592464,0.10570471101694193,0.7381079347879222,0.5424659724029122,0.47757366871648427,0.46820998075556414,0.4820707233556485,0.999999985856579,RC4
33022,32578,0.0830017308044139,0.46889745547507267,0.8482892888673762,0.45043952444095287,0.6645385657784181,0.6159474737713811,0.19424744792109308,0.19544969719117547,0.05814112652333492,0.9999997360958184,Blowfish
32712,32888,0.49197903941493754,0.4301433315441137,0.31843666674995574,0.4186773499622219,0.962089981372801,0.4099051721309135,0.5513184166316082,0.5546283599782685,0.3434685675114979,0.999999983519774,3DES
32751,32849,0.7019972996157591,0.9663881932441233,0.9195968474865981,0.052876234744920626,0.4006627259941357,0.3704034184737721,0.18601769283705563,0.18689087799931633,0.6839491691794783,0.9999999950916377,RC4
32928,32672,0.31754669207425995,0.8098710229229561,0.0659184423979568,0.5750298865678636,0.3081537237798362,0.06765999086699054,0.4239554138241442,0.42418687814704054,0.4851757871137379,0.9999999853763722,RC4
32695,32905,0.4122661329006101,0.43849389907129255,0.5810869013742801,0.7087180009906021,0.44045331976184093,1.0,0.7112341321891537,0.7075484283313312,0.23485963843746238,1.0000000017563333,Blowfish
32800,32800,1.0,0.624212178344561,0.7194457366855654,0.7683767903615092,0.6413281381954113,0.590970091643279,0.47859927953063824,0.47533287644800787,0.33619136274991646,0.9999984994967069,CAST
33025,32575,0.07892551020522921,0.17252308225250376,0.9473478052089852,0.5979682880617505,0.5993882021085154,0.6413777524167892,0.01265981348274786,0.012793874371191944,0.06800217036274248,0.9999999985645444,Blowfish
32946,32718,0.3735966374564359,0.6248419326143331,0.45085331149708074,0.9228538778955592,0.19720209780337483,0.11843632161822852,0.18245358365108014,0.18326234262407068,0.3927034783357597,0.9999999214512666,AES
32815,32785,0.9067567820943006,0.7774104196022206,0.5686180708048175,0.21087983942611727,0.0702846483316454,0.26670169438600017,0.9259288791384321,0.9266187846593157,0.886400084212474,0.9999999886640448,3DES
32593,33007,0.10600819640117519,0.8419886612953591,0.14143063694760707,0.6561520257740324,0.7392907181095738,0.4099051721309135,0.2719203869649414,0.27562408881652617,0.12620518397647462,0.999999995490676,Blowfish
33008,32656,0.1695475118858608,0.9971222992448902,0.5275356332831252,0.8425215979739485,0.44399367696562836,0.5053540130960822,0.7216569329183561,0.7204635146566297,0.1777110367046142,0.9999999991153995,AES
32429,33171,0.003767217956611947,0.4301433315441137,0.08549338998786662,0.2922182325254371,0.6327117127193927,0.9714189339546523,0.02741297673509842,0.032038945486143514,0.00632092163795317,0.9999733523518263,3DES
32822,32778,0.8636017327390523,0.18345219933527615,0.3860077660241893,0.3803250872338865,0.4572171829820413,0.4305611313584348,0.7654421350577127,0.7645909351625201,0.9324840491179891,0.9999999977452322,3DES
